precision,recall,threshold
0.5,1.0,0.0
0.4117647058823529,0.14,0.016218602657318115
0.42424242424242425,0.14,0.02399998903274536
0.4375,0.14,0.026988565921783447
0.41935483870967744,0.13,0.04292178153991699
0.4,0.12,0.05710101127624512
0.41379310344827586,0.12,0.10606807470321655
0.42857142857142855,0.12,0.10617750883102417
0.4444444444444444,0.12,0.11021232604980469
0.46153846153846156,0.12,0.12458610534667969
0.48,0.12,0.13651597499847412
0.5,0.12,0.1380765438079834
0.4782608695652174,0.11,0.1435490846633911
0.5,0.11,0.14738082885742188
0.47619047619047616,0.1,0.16007477045059204
0.5,0.1,0.16100186109542847
0.5263157894736842,0.1,0.16223514080047607
0.5555555555555556,0.1,0.16549354791641235
0.5882352941176471,0.1,0.1908133625984192
0.625,0.1,0.23553723096847534
0.6,0.09,0.26768356561660767
0.5714285714285714,0.08,0.32118797302246094
0.6153846153846154,0.08,0.3589661121368408
0.5833333333333334,0.07,0.4315270185470581
0.6363636363636364,0.07,0.47858625650405884
0.6,0.06,0.491091787815094
0.5555555555555556,0.05,0.5017474293708801
0.5,0.04,0.5551478266716003
0.5714285714285714,0.04,0.6728852391242981
0.6666666666666666,0.04,0.681099534034729
0.6,0.03,0.7096669673919678
0.75,0.03,0.7131350636482239
0.6666666666666666,0.02,0.7922528386116028
0.5,0.01,0.8112046718597412
1.0,0.01,0.8910230398178101
1.0,0.0,
