precision,recall,threshold
0.5,1.0,0.0
0.38461538461538464,0.1,0.0047029852867126465
0.4,0.1,0.005612075328826904
0.375,0.09,0.00954437255859375
0.34782608695652173,0.08,0.013837695121765137
0.36363636363636365,0.08,0.015328824520111084
0.38095238095238093,0.08,0.016632676124572754
0.4,0.08,0.02428901195526123
0.3684210526315789,0.07,0.025023221969604492
0.3888888888888889,0.07,0.029145359992980957
0.35294117647058826,0.06,0.047745347023010254
0.375,0.06,0.07883656024932861
0.4,0.06,0.09556370973587036
0.42857142857142855,0.06,0.09972524642944336
0.46153846153846156,0.06,0.10885483026504517
0.5,0.06,0.10897225141525269
0.45454545454545453,0.05,0.10928875207901001
0.4,0.04,0.11205589771270752
0.3333333333333333,0.03,0.12752240896224976
0.25,0.02,0.13755923509597778
0.14285714285714285,0.01,0.13830024003982544
0.0,0.0,0.15544021129608154
0.0,0.0,0.1801971197128296
0.0,0.0,0.18468689918518066
0.0,0.0,0.18927901983261108
0.0,0.0,0.24723273515701294
0.0,0.0,0.3071069121360779
1.0,0.0,
