precision,recall,threshold
0.5,1.0,0.0
0.5227272727272727,0.23,0.002462625503540039
0.5116279069767442,0.22,0.006268441677093506
0.5238095238095238,0.22,0.008738338947296143
0.5121951219512195,0.21,0.01746809482574463
0.5,0.2,0.025314688682556152
0.5128205128205128,0.2,0.0255163311958313
0.5,0.19,0.034373462200164795
0.5135135135135135,0.19,0.0427517294883728
0.5,0.18,0.05098682641983032
0.4857142857142857,0.17,0.05619555711746216
0.47058823529411764,0.16,0.06315076351165771
0.48484848484848486,0.16,0.06546783447265625
0.5,0.16,0.07694846391677856
0.5161290322580645,0.16,0.08452683687210083
0.5333333333333333,0.16,0.08497375249862671
0.5172413793103449,0.15,0.09517508745193481
0.5,0.14,0.10237562656402588
0.48148148148148145,0.13,0.10799086093902588
0.5,0.13,0.11431467533111572
0.48,0.12,0.14634764194488525
0.4583333333333333,0.11,0.1554504632949829
0.43478260869565216,0.1,0.162695050239563
0.45454545454545453,0.1,0.17036586999893188
0.42857142857142855,0.09,0.18816423416137695
0.45,0.09,0.1934012770652771
0.47368421052631576,0.09,0.19626080989837646
0.4444444444444444,0.08,0.19913268089294434
0.4117647058823529,0.07,0.21658527851104736
0.4375,0.07,0.24746036529541016
0.4,0.06,0.2784048318862915
0.42857142857142855,0.06,0.28631269931793213
0.38461538461538464,0.05,0.3261459469795227
0.3333333333333333,0.04,0.36074399948120117
0.36363636363636365,0.04,0.3658215403556824
0.4,0.04,0.3841993808746338
0.4444444444444444,0.04,0.39808791875839233
0.5,0.04,0.4371756911277771
0.5714285714285714,0.04,0.4661763310432434
0.5,0.03,0.4680773615837097
0.6,0.03,0.4687040448188782
0.5,0.02,0.4842420220375061
0.6666666666666666,0.02,0.4972304701805115
1.0,0.02,0.5903356075286865
1.0,0.01,0.6380809545516968
1.0,0.0,
