precision,recall,threshold
0.5,1.0,0.0
0.6842105263157895,0.13,0.004739642143249512
0.7222222222222222,0.13,0.01593083143234253
0.7058823529411765,0.12,0.025779306888580322
0.75,0.12,0.02624136209487915
0.8,0.12,0.031950950622558594
0.7857142857142857,0.11,0.03980129957199097
0.7692307692307693,0.1,0.04070568084716797
0.75,0.09,0.06813496351242065
0.7272727272727273,0.08,0.08554929494857788
0.7,0.07,0.11214661598205566
0.7777777777777778,0.07,0.112801194190979
0.875,0.07,0.12381678819656372
0.8571428571428571,0.06,0.13326364755630493
0.8333333333333334,0.05,0.14191532135009766
0.8,0.04,0.1519421935081482
0.75,0.03,0.18721091747283936
0.6666666666666666,0.02,0.2019439935684204
0.5,0.01,0.22596269845962524
1.0,0.01,0.403228759765625
1.0,0.0,
